map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
map2,rrt_online,4,0.0,0,2000,7,238,8,163,0,163,328,161.91
map2,rrt_online,8,0.0,0,2000,6,403,39,688,0,688,793,394.99
map2,rrt_online,10,0.0,0,2000,5,456,68,1260,0,1260,1177,580.25
map2,rrt_online,2,0.0,0,2000,8,128,3,20,0,20,146,74.16
map1,rrt_online,4,0.0,0,2000,8,205,9,181,0,181,308,151.3
map2,rrt_online,6,0.0,0,2000,7,316,19,448,0,448,528,265.97
map1,rrt_online,10,0.0,0,2000,6,465,76,1237,0,1237,1133,564.21
map1,rrt_online,2,0.0,0,2000,9,110,1,32,0,32,125,57.25
map1,rrt_online,8,0.0,0,2000,7,361,40,869,0,869,823,405.92
map2,rrt_online,4,0.0,0,2000,8,238,12,131,0,131,324,154.86
map1,rrt_online,6,0.0,0,2000,8,300,27,429,0,429,535,265.23
map2,rrt_online,10,0.0,0,2000,6,483,53,1269,0,1269,1143,559.2
map2,rrt_online,2,0.0,0,2000,9,117,1,22,0,22,129,59.32
map1,rrt_online,4,0.0,0,2000,9,221,9,134,0,134,300,139.11
map2,rrt_online,8,0.0,0,2000,7,403,40,802,0,802,842,403.18
map2,rrt_online,6,0.0,0,2000,8,318,23,468,0,468,583,272.11
map1,rrt_online,10,0.0,0,2000,7,442,60,1309,0,1309,1144,560.59
map1,rrt_online,8,0.0,0,2000,8,381,31,837,0,837,832,401.6
map2,rrt_online,4,0.0,0,2000,9,231,8,196,0,196,332,159.45
map1,rrt_online,2,0.0,0,2000,10,108,1,24,0,24,121,61.87
map2,rrt_online,10,0.0,0,2000,7,454,74,1185,0,1185,1093,523.36
map1,rrt_online,6,0.0,0,2000,9,321,14,331,0,331,511,247.89
map2,rrt_online,8,0.0,0,2000,8,393,38,854,0,854,829,393.93
map2,rrt_online,2,0.0,0,2000,10,128,3,21,0,21,142,61.34
map1,rrt_online,4,0.0,0,2000,10,206,11,216,0,216,303,143.12
map1,rrt_online,10,0.0,0,2000,8,452,58,1417,0,1417,1135,542.31
map2,rrt_online,6,0.0,0,2000,9,316,20,515,0,515,587,274.31
map1,rrt_online,8,0.0,0,2000,9,364,29,776,0,776,811,380.6
map2,rrt_online,4,0.0,0,2000,10,217,15,176,0,176,322,146.27
map1,rrt_online,2,0.0,0,2000,11,107,0,22,0,22,119,57.4
map1,rrt_online,6,0.0,0,2000,10,303,18,334,0,334,504,232.45
map2,rrt_online,10,0.0,0,2000,8,443,56,1452,0,1452,1176,548.81
map2,rrt_online,8,0.0,0,2000,9,404,45,732,0,732,821,396.39
map2,rrt_online,2,0.0,0,2000,11,114,2,29,0,29,129,73.16
map1,rrt_online,4,0.0,0,2000,11,219,11,215,0,215,310,161.34
map2,rrt_online,6,0.0,0,2000,10,307,21,454,0,454,562,277.27
map1,rrt_online,10,0.0,0,2000,9,419,77,1290,0,1290,1133,546.3
map1,rrt_online,8,0.0,0,2000,10,392,45,790,0,790,845,399.91
map2,rrt_online,4,0.0,0,2000,11,226,8,203,0,203,333,165.86
map1,rrt_online,2,0.0,0,2000,12,115,0,52,0,52,142,61.09
map1,rrt_online,6,0.0,0,2000,11,306,15,423,0,423,527,258.51
map2,rrt_online,10,0.0,0,2000,9,468,49,1339,0,1339,1145,545.15
map2,rrt_online,8,0.0,0,2000,10,388,42,744,0,744,803,384.58
map2,rrt_online,2,0.0,0,2000,12,118,0,22,0,22,135,63.91
map1,rrt_online,4,0.0,0,2000,12,205,5,185,0,185,320,145.75
map1,rrt_online,10,0.0,0,2000,10,449,62,1295,0,1295,1138,531.99
map2,rrt_online,6,0.0,0,2000,11,317,20,384,0,384,525,248.76
map1,rrt_online,8,0.0,0,2000,11,387,39,758,0,758,796,379.53
map2,rrt_online,4,0.0,0,2000,12,215,8,223,0,223,325,150.2
map1,rrt_online,2,0.0,0,2000,13,113,2,18,0,18,128,61.94
map2,rrt_online,10,0.0,0,2000,10,469,59,1292,0,1292,1156,550.79
map1,rrt_online,6,0.0,0,2000,12,316,19,405,0,405,524,245.11
map2,rrt_online,8,0.0,0,2000,11,400,33,723,0,723,798,375.81
map1,rrt_online,4,0.0,0,2000,13,204,7,200,0,200,304,146.93
map2,rrt_online,6,0.0,0,2000,12,311,16,392,0,392,498,234.27
map2,rrt_online,2,0.0,0,2000,13,120,1,19,0,19,134,64.07
map1,rrt_online,2,0.0,0,2000,14,110,2,32,0,32,133,65.95
map1,rrt_online,8,0.0,0,2000,12,381,35,727,0,727,775,371.15
map1,rrt_online,10,0.0,0,2000,11,443,84,1504,0,1504,1233,591.76
map2,rrt_online,4,0.0,0,2000,13,211,5,185,0,185,298,146.45
map1,rrt_online,6,0.0,0,2000,13,302,23,400,0,400,532,257.47
map2,rrt_online,10,0.0,0,2000,11,463,65,1197,0,1197,1122,521.69
map2,rrt_online,8,0.0,0,2000,12,407,43,752,0,752,819,387.55
map2,rrt_online,2,0.0,0,2000,14,128,1,35,0,35,147,65.97
map1,rrt_online,4,0.0,0,2000,14,199,7,172,0,172,293,134.18
map1,rrt_online,10,0.0,0,2000,12,456,60,1218,0,1218,1076,507.06
map2,rrt_online,6,0.0,0,2000,13,320,26,398,0,398,550,259.32
map1,rrt_online,8,0.0,0,2000,13,365,31,773,0,773,767,361.38
map2,rrt_online,4,0.0,0,2000,14,216,8,192,0,192,310,141.71
map1,rrt_online,6,0.0,0,2000,14,307,16,449,0,449,529,232.6
map2,rrt_online,10,0.0,0,2000,12,473,56,1296,0,1296,1134,514.43
map2,rrt_online,8,0.0,0,2000,13,392,39,750,0,750,811,356.93
map1,rrt_online,10,0.0,0,2000,13,477,66,1102,0,1102,1088,468.19
map2,rrt_online,6,0.0,0,2000,14,303,20,441,0,441,547,194.54
map1,rrt_online,8,0.0,0,2000,14,385,43,807,0,807,831,300.91
map2,rrt_online,10,0.0,0,2000,13,475,63,1169,0,1169,1107,406.85
map2,rrt_online,8,0.0,0,2000,14,400,27,834,0,834,802,237.14
map1,rrt_online,10,0.0,0,2000,14,425,60,1307,0,1307,1113,335.69
map2,rrt_online,10,0.0,0,2000,14,461,54,1218,0,1218,1102,232.68
