exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
S4_throughput_map1,map1,original,5,1.0,5,300,5,36,5,26,0,26,2,18.12
S4_throughput_map1,map1,original,5,0.0,0,1500,4,193,28,269,0,269,8,73.05
S4_throughput_map1,map1,original,5,0.6,3,1500,4,182,22,202,0,202,24,76.73
S4_throughput_map1,map1,original,5,0.0,0,600,5,73,7,97,0,97,3,28.91
S4_throughput_map1,map1,original,5,1.0,5,1500,4,187,20,211,0,211,24,69.07
S4_throughput_map1,map1,original,5,1.0,5,600,5,76,11,128,0,128,8,27.04
S4_throughput_map1,map1,original,5,0.0,0,2000,4,258,35,331,0,331,14,88.18
S4_throughput_map1,map1,original,5,0.6,3,600,5,71,7,91,0,91,7,46.0
S4_throughput_map1,map1,original,5,0.6,3,2000,4,247,34,276,0,276,31,95.86
S4_throughput_map1,map1,original,5,0.0,0,1000,5,128,11,194,0,194,7,53.67
S4_throughput_map1,map1,original,5,0.0,0,300,6,33,6,41,0,41,1,15.78
S4_throughput_map1,map1,original,5,0.6,3,1000,5,123,16,227,0,227,12,59.97
S4_throughput_map1,map1,original,5,0.6,3,300,6,33,6,78,0,78,1,16.45
S4_throughput_map1,map1,original,5,1.0,5,300,6,34,6,63,0,63,3,16.51
S4_throughput_map1,map1,original,5,1.0,5,1000,5,126,25,163,0,163,17,72.86
S4_throughput_map1,map1,original,5,0.0,0,1500,5,180,16,314,0,314,10,72.92
S4_throughput_map1,map1,original,5,1.0,5,2000,4,249,33,286,0,286,35,135.26
S4_throughput_map1,map1,original,5,0.0,0,600,6,71,8,74,0,74,3,32.82
S4_throughput_map1,map1,original,5,1.0,5,600,6,78,13,91,0,91,5,31.14
S4_throughput_map1,map1,original,5,0.6,3,600,6,66,10,137,0,137,5,41.12
S4_throughput_map1,map1,original,5,0.6,3,1500,5,179,23,334,0,334,19,88.19
S4_throughput_map1,map1,original,5,0.0,0,1000,6,125,13,150,0,150,4,45.43
S4_throughput_map1,map1,original,5,0.0,0,300,7,36,4,29,0,29,7,18.71
S4_throughput_map1,map1,original,5,1.0,5,1000,6,126,23,162,0,162,12,55.54
S4_throughput_map1,map1,original,5,1.0,5,1500,5,189,35,223,0,223,30,129.78
S4_throughput_map1,map1,original,5,0.6,3,300,7,32,2,20,0,20,3,10.24
S4_throughput_map1,map1,original,5,0.0,0,2000,5,246,23,406,0,406,18,118.84
S4_throughput_map1,map1,original,5,0.6,3,1000,6,114,15,220,0,220,7,64.59
S4_throughput_map1,map1,original,5,1.0,5,300,7,33,4,30,0,30,4,12.11
S4_throughput_map1,map1,original,5,0.6,3,1500,6,178,19,275,0,275,14,78.72
S4_throughput_map1,map1,original,5,0.0,0,1500,6,184,22,234,0,234,8,83.88
S4_throughput_map1,map1,original,5,1.0,5,600,7,71,8,91,0,91,12,26.89
S4_throughput_map1,map1,original,5,0.6,3,2000,5,245,33,410,0,410,27,153.8
S4_throughput_map1,map1,original,5,0.0,0,600,7,74,11,78,0,78,9,30.55
S4_throughput_map1,map1,original,5,0.6,3,600,7,70,10,60,0,60,5,27.58
S4_throughput_map1,map1,original,5,1.0,5,2000,5,256,48,336,0,336,45,159.44
S4_throughput_map1,map1,original,5,1.0,5,1500,6,186,31,211,0,211,22,95.66
S4_throughput_map1,map1,original,5,0.0,0,2000,6,244,34,328,0,328,13,109.11
S4_throughput_map1,map1,original,5,0.6,3,1000,7,127,17,114,0,114,7,46.47
S4_throughput_map1,map1,original,5,0.6,3,300,8,34,4,60,0,60,1,12.59
S4_throughput_map1,map1,original,5,0.0,0,300,8,34,3,61,0,61,3,10.06
S4_throughput_map1,map1,original,5,0.6,3,2000,6,237,29,408,0,408,26,104.54
S4_throughput_map1,map1,original,5,1.0,5,2000,6,244,38,266,0,266,34,108.1
S4_throughput_map1,map1,original,5,1.0,5,1000,7,125,13,121,0,121,21,42.15
S4_throughput_map1,map1,original,5,0.0,0,1000,7,126,16,147,0,147,15,61.03
S4_throughput_map1,map1,original,5,1.0,5,300,8,41,5,44,0,44,4,10.05
S4_throughput_map1,map1,original,5,1.0,5,600,8,73,13,121,0,121,10,18.72
S4_throughput_map1,map1,original,5,0.6,3,1500,7,185,24,199,0,199,18,54.17
S4_throughput_map1,map1,original,5,0.0,0,1500,7,198,22,257,0,257,18,66.08
S4_throughput_map1,map1,original,5,0.0,0,600,8,71,6,95,0,95,5,24.92
S4_throughput_map1,map1,original,5,0.6,3,600,8,74,8,74,0,74,4,24.72
S4_throughput_map1,map1,original,5,0.6,3,2000,7,250,43,283,0,283,26,62.75
S4_throughput_map1,map1,original,5,0.0,0,1000,8,121,12,126,0,126,8,36.73
S4_throughput_map1,map1,original,5,1.0,5,1500,7,187,22,199,0,199,31,73.09
S4_throughput_map1,map1,original,5,1.0,5,1000,8,122,20,211,0,211,22,39.52
S4_throughput_map1,map1,original,5,0.0,0,2000,7,268,31,322,0,322,21,76.92
S4_throughput_map1,map1,original,5,0.6,3,1000,8,128,20,127,0,127,9,41.91
S4_throughput_map1,map1,original,5,0.0,0,300,9,34,6,23,0,23,5,18.56
S4_throughput_map1,map1,original,5,0.6,3,300,9,34,6,48,0,48,3,12.14
S4_throughput_map1,map1,original,5,1.0,5,300,9,34,3,54,0,54,5,9.94
S4_throughput_map1,map1,original,5,1.0,5,2000,7,248,33,280,0,280,43,76.62
S4_throughput_map1,map1,original,5,0.0,0,1500,8,183,20,189,0,189,12,49.35
S4_throughput_map1,map1,original,5,0.6,3,600,9,73,8,73,0,73,8,15.57
S4_throughput_map1,map1,original,5,0.6,3,1500,8,184,35,264,0,264,17,57.16
S4_throughput_map1,map1,original,5,1.0,5,1500,8,180,30,280,0,280,33,49.69
S4_throughput_map1,map1,original,5,0.0,0,600,9,77,10,99,0,99,6,23.8
S4_throughput_map1,map1,original,5,1.0,5,600,9,80,7,96,0,96,8,20.74
S4_throughput_map1,map1,original,5,0.6,3,1000,9,118,16,128,0,128,11,24.53
S4_throughput_map1,map1,original,5,0.0,0,300,10,33,7,43,0,43,4,7.67
S4_throughput_map1,map1,original,5,0.0,0,2000,8,249,27,263,0,263,17,65.41
S4_throughput_map1,map1,original,5,0.6,3,300,10,34,5,88,0,88,2,11.2
S4_throughput_map1,map1,original,5,1.0,5,1000,9,126,12,176,0,176,18,34.99
S4_throughput_map1,map1,original,5,0.0,0,1000,9,128,13,158,0,158,11,40.28
S4_throughput_map1,map1,original,5,0.6,3,2000,8,250,44,370,0,370,26,73.36
S4_throughput_map1,map1,original,5,0.6,3,1500,9,175,24,224,0,224,16,39.73
S4_throughput_map1,map1,original,5,1.0,5,300,10,30,6,72,0,72,6,10.33
S4_throughput_map1,map1,original,5,1.0,5,2000,8,243,40,368,0,368,48,74.9
S4_throughput_map1,map1,original,5,0.0,0,1500,9,186,27,274,0,274,13,49.32
S4_throughput_map1,map1,original,5,0.0,0,600,10,60,14,121,0,121,10,16.83
S4_throughput_map1,map1,original,5,1.0,5,1500,9,181,19,244,0,244,33,54.17
S4_throughput_map1,map1,original,5,0.6,3,600,10,72,9,142,0,142,7,16.99
S4_throughput_map1,map1,original,5,1.0,5,600,10,67,15,135,0,135,11,21.89
S4_throughput_map1,map1,original,5,0.0,0,1000,10,120,18,166,0,166,13,26.51
S4_throughput_map1,map1,original,5,0.6,3,1000,10,123,13,226,0,226,12,30.61
S4_throughput_map1,map1,original,5,0.6,3,2000,9,238,34,272,0,272,23,57.84
S4_throughput_map1,map1,original,5,0.0,0,300,11,40,3,23,0,23,3,8.98
S4_throughput_map1,map1,original,5,0.6,3,300,11,36,4,24,0,24,4,7.01
S4_throughput_map1,map1,original,5,1.0,5,2000,9,245,30,322,0,322,44,64.18
S4_throughput_map1,map1,original,5,1.0,5,1000,10,116,26,227,0,227,22,34.44
S4_throughput_map1,map1,original,5,1.0,5,300,11,38,4,23,0,23,1,6.67
S4_throughput_map1,map1,original,5,0.0,0,2000,9,258,39,353,0,353,18,75.23
S4_throughput_map1,map1,original,5,0.0,0,1500,10,182,28,273,0,273,20,50.49
S4_throughput_map1,map1,original,5,0.6,3,1500,10,187,22,275,0,275,19,50.44
S4_throughput_map1,map1,original,5,0.0,0,600,11,83,13,79,0,79,3,16.67
S4_throughput_map1,map1,original,5,0.6,3,600,11,74,7,64,0,64,7,14.63
S4_throughput_map1,map1,original,5,1.0,5,1500,10,179,36,332,0,332,33,50.8
S4_throughput_map1,map1,original,5,1.0,5,600,11,71,8,86,0,86,4,17.54
S4_throughput_map1,map1,original,5,0.0,0,2000,10,236,39,427,0,427,29,62.84
S4_throughput_map1,map1,original,5,0.0,0,300,12,35,4,66,0,66,3,10.38
S4_throughput_map1,map1,original,5,0.0,0,1000,11,128,19,138,0,138,7,30.96
S4_throughput_map1,map1,original,5,0.6,3,2000,10,251,36,379,0,379,25,59.98
S4_throughput_map1,map1,original,5,0.6,3,300,12,37,7,89,0,89,2,9.68
S4_throughput_map1,map1,original,5,0.6,3,1000,11,125,15,190,0,190,12,34.74
S4_throughput_map1,map1,original,5,1.0,5,1000,11,119,16,132,0,132,13,36.75
S4_throughput_map1,map1,original,5,1.0,5,300,12,36,2,44,0,44,3,8.79
S4_throughput_map1,map1,original,5,1.0,5,2000,10,239,42,422,0,422,44,68.49
S4_throughput_map1,map1,original,5,0.6,3,1500,11,188,25,294,0,294,17,45.15
S4_throughput_map1,map1,original,5,0.0,0,600,12,75,10,103,0,103,4,16.71
S4_throughput_map1,map1,original,5,0.0,0,1500,11,188,28,255,0,255,12,52.01
S4_throughput_map1,map1,original,5,0.6,3,600,12,76,10,117,0,117,3,19.04
S4_throughput_map1,map1,original,5,1.0,5,600,12,78,3,64,0,64,7,18.17
S4_throughput_map1,map1,original,5,1.0,5,1500,11,174,27,191,0,191,20,55.25
S4_throughput_map1,map1,original,5,0.6,3,1000,12,126,24,212,0,212,9,30.25
S4_throughput_map1,map1,original,5,0.0,0,300,13,39,4,38,0,38,3,8.7
S4_throughput_map1,map1,original,5,0.0,0,1000,12,128,16,206,0,206,8,32.89
S4_throughput_map1,map1,original,5,0.0,0,2000,11,252,35,336,0,336,17,62.46
S4_throughput_map1,map1,original,5,0.6,3,2000,11,244,34,369,0,369,23,63.11
S4_throughput_map1,map1,original,5,1.0,5,1000,12,128,10,129,0,129,14,35.61
S4_throughput_map1,map1,original,5,0.6,3,300,13,38,3,35,0,35,4,7.78
S4_throughput_map1,map1,original,5,1.0,5,300,13,39,3,33,0,33,4,11.88
S4_throughput_map1,map1,original,5,1.0,5,2000,11,242,39,257,0,257,27,81.01
S4_throughput_map1,map1,original,5,0.0,0,600,13,81,10,87,0,87,5,16.81
S4_throughput_map1,map1,original,5,0.0,0,1500,12,199,29,295,0,295,10,49.71
S4_throughput_map1,map1,original,5,1.0,5,600,13,75,10,60,0,60,8,18.86
S4_throughput_map1,map1,original,5,0.6,3,600,13,80,13,79,0,79,6,18.57
S4_throughput_map1,map1,original,5,0.6,3,1500,12,173,37,323,0,323,17,55.7
S4_throughput_map1,map1,original,5,1.0,5,1500,12,180,21,209,0,209,22,53.86
S4_throughput_map1,map1,original,5,0.0,0,1000,13,136,15,152,0,152,9,32.0
S4_throughput_map1,map1,original,5,0.0,0,2000,12,270,34,369,0,369,13,60.8
S4_throughput_map1,map1,original,5,0.6,3,1000,13,138,17,152,0,152,9,29.92
S4_throughput_map1,map1,original,5,1.0,5,1000,13,122,19,136,0,136,17,31.69
S4_throughput_map1,map1,original,5,0.0,0,300,14,33,2,39,0,39,3,10.59
S4_throughput_map1,map1,original,5,0.6,3,300,14,32,2,70,0,70,7,8.51
S4_throughput_map1,map1,original,5,1.0,5,2000,12,245,29,272,0,272,33,67.58
S4_throughput_map1,map1,original,5,1.0,5,300,14,32,6,100,0,100,3,8.76
S4_throughput_map1,map1,original,5,0.6,3,2000,12,228,50,438,0,438,26,78.0
S4_throughput_map1,map1,original,5,0.0,0,600,14,66,6,93,0,93,5,17.1
S4_throughput_map1,map1,original,5,0.0,0,1500,13,205,25,275,0,275,10,42.95
S4_throughput_map1,map1,original,5,0.6,3,600,14,67,7,122,0,122,9,16.76
S4_throughput_map1,map1,original,5,1.0,5,600,14,64,12,180,0,180,9,23.29
S4_throughput_map1,map1,original,5,0.6,3,1500,13,209,26,221,0,221,15,52.99
S4_throughput_map1,map1,original,5,1.0,5,1500,13,189,37,225,0,225,27,52.46
S4_throughput_map1,map1,original,5,0.6,3,1000,14,127,11,157,0,157,14,29.72
S4_throughput_map1,map1,original,5,0.6,3,2000,13,271,41,286,0,286,19,61.49
S4_throughput_map1,map1,original,5,0.0,0,1000,14,120,10,129,0,129,8,35.7
S4_throughput_map1,map1,original,5,0.0,0,2000,13,268,39,383,0,383,16,64.71
S4_throughput_map1,map1,original,5,1.0,5,1000,14,105,18,225,0,225,17,36.38
S4_throughput_map1,map1,original,5,0.0,0,300,15,42,7,47,0,47,3,10.16
S4_throughput_map1,map1,original,5,0.6,3,300,15,40,7,53,0,53,4,10.13
S4_throughput_map1,map1,original,5,1.0,5,2000,13,241,48,319,0,319,42,70.36
S4_throughput_map1,map1,original,5,1.0,5,300,15,38,10,66,0,66,4,9.28
S4_throughput_map1,map1,original,5,0.0,0,1500,14,176,18,192,0,192,15,44.02
