exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,5,199,38,192,0,192,35,21.25
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,4,425,93,2618,1007,1611,50,138.18
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,4,424,41,1624,0,1624,30,127.63
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,5,353,1,17,0,17,374,1.78
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,5,90,14,32,0,32,13,21.49
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,3,150,630,6020,4718,1302,186,402.99
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,4,326,95,1258,0,1258,66,163.64
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,5,287,275,249,0,249,670,9.89
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,5,179,38,290,0,290,15,33.34
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,5,220,20,210,0,210,323,12.9
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,5,234,28,189,0,189,8,30.91
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,5,29,114,1041,1015,26,31,51.06
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,5,519,2,37,0,37,564,3.29
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,5,194,26,543,373,170,15,47.39
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,5,188,8,161,0,161,5,36.48
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,5,434,508,613,0,613,1240,17.61
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,5,321,64,454,0,454,613,25.77
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,5,263,66,642,0,642,69,49.4
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,5,327,43,433,0,433,14,52.26
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,5,185,34,307,0,307,28,69.27
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,5,279,9,452,0,452,6,61.5
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,5,289,50,573,0,573,28,69.3
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,5,284,45,1173,689,484,25,69.05
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,5,695,3,92,0,92,798,4.42
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,5,552,751,1089,0,1089,1843,26.14
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,5,360,91,978,0,978,115,53.8
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,5,440,102,895,0,895,992,39.39
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,5,73,224,2006,1794,212,65,126.57
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,5,369,72,811,0,811,28,78.9
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,5,426,78,898,0,898,32,79.34
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,4,120,465,4440,3681,759,164,351.06
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,5,355,32,972,0,972,15,94.38
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,5,272,55,570,0,570,59,131.4
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,5,857,5,130,0,130,1002,6.76
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,5,354,69,1777,903,874,36,110.62
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,5,417,148,1542,0,1542,160,69.67
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,5,714,1005,1489,0,1489,2417,31.55
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,4,432,151,1974,0,1974,90,302.58
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,6,97,15,52,0,52,15,7.48
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,5,508,145,1297,0,1297,1236,50.85
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,6,96,10,17,0,17,7,11.87
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,5,409,104,1621,0,1621,58,111.9
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,6,170,1,5,0,5,178,1.19
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,6,117,7,29,0,29,2,14.3
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,6,121,6,28,0,28,142,5.07
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,6,153,124,25,0,25,290,4.6
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,6,102,3,208,158,50,6,17.4
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,5,528,120,1402,0,1402,35,114.68
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,6,93,2,32,0,32,1,15.98
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,5,430,84,2177,865,1312,58,126.39
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,6,197,39,269,0,269,37,22.64
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,6,88,14,59,0,59,13,22.88
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,6,353,2,11,0,11,370,2.48
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,5,81,367,3264,2865,399,117,248.71
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,6,195,27,182,0,182,6,29.53
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,4,158,626,5908,4691,1217,194,410.75
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,6,294,279,197,0,197,675,10.26
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,6,235,15,174,0,174,342,13.48
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,5,427,53,1512,0,1512,32,129.44
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,6,234,16,151,0,151,17,34.51
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,5,317,110,1312,0,1312,69,205.45
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,6,39,97,850,834,16,38,69.24
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,6,524,4,31,0,31,565,4.14
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,6,185,9,203,0,203,3,35.95
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,6,193,25,519,351,168,17,51.18
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,6,283,77,602,0,602,73,32.91
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,6,421,466,488,0,488,1135,16.63
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,6,332,49,462,0,462,633,23.42
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,6,326,48,490,0,490,12,55.86
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,6,175,43,238,0,238,27,60.63
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,6,295,43,585,0,585,20,61.5
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,5,123,475,4514,3757,757,129,262.53
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,6,696,5,76,0,76,784,5.61
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,6,272,43,1154,574,580,16,71.07
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,6,268,16,533,0,533,15,63.59
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,6,373,91,926,0,926,114,47.88
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,6,556,746,1059,0,1059,1814,23.81
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,6,427,96,868,0,868,933,35.53
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,6,58,241,2042,1888,154,58,127.31
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,6,443,64,800,0,800,27,74.03
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,6,346,90,1076,0,1076,38,98.82
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,6,375,34,881,0,881,14,88.93
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,6,870,8,108,0,108,995,8.17
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,6,345,69,1700,745,955,34,107.48
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,6,266,64,606,0,606,66,133.72
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,6,430,148,1631,0,1631,153,98.33
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,6,701,1011,1646,0,1646,2490,31.89
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,7,99,16,73,0,73,16,7.97
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,6,494,133,1354,0,1354,1302,55.15
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,5,415,136,2110,0,2110,122,330.75
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,6,409,124,1638,0,1638,48,126.03
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,6,510,127,1538,0,1538,40,113.33
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,7,173,0,5,0,5,180,0.49
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,6,94,351,3228,2865,363,103,207.2
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,7,116,11,27,0,27,7,14.23
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,7,94,15,64,0,64,9,20.17
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,7,148,134,38,0,38,303,4.86
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,7,120,8,20,0,20,139,5.57
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,7,90,13,287,255,32,7,18.64
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,7,103,0,26,0,26,1,15.98
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,7,198,33,153,0,153,42,16.05
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,7,86,10,38,0,38,9,19.2
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,5,165,629,5933,4644,1289,193,387.63
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,7,343,1,23,0,23,371,1.85
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,6,443,36,1201,0,1201,21,120.09
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,7,186,28,148,0,148,16,28.89
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,6,413,102,2662,1085,1577,40,139.37
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,7,285,289,281,0,281,702,11.33
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,7,244,25,199,0,199,367,14.63
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,7,237,28,183,0,183,9,32.19
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,6,328,99,1473,0,1473,82,206.87
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,7,35,112,982,963,19,35,65.69
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,7,195,11,167,0,167,1,38.19
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,7,516,1,35,0,35,557,2.53
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,7,187,14,555,351,204,14,47.05
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,7,286,58,557,0,557,68,34.52
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,7,421,502,658,0,658,1242,17.66
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,7,328,50,438,0,438,614,24.44
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,7,284,47,504,0,504,27,51.32
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,7,312,45,542,0,542,18,52.61
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,7,190,40,257,0,257,27,71.02
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,7,252,42,1110,659,451,30,69.76
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,7,689,4,92,0,92,793,5.4
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,7,264,18,448,0,448,10,64.42
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,7,339,106,1179,0,1179,119,46.33
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,6,128,495,4507,3755,752,135,309.36
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,7,546,707,1007,0,1007,1739,23.52
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,7,74,223,2004,1872,132,67,122.39
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,7,411,72,867,0,867,909,37.31
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,7,351,75,1011,0,1011,38,74.84
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,7,413,84,1011,0,1011,34,82.2
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,7,349,32,908,0,908,21,92.99
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,7,258,48,634,0,634,56,137.62
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,7,865,4,124,0,124,1003,5.73
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,7,419,137,1477,0,1477,162,66.85
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,7,347,65,1716,845,871,42,125.58
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,6,430,114,1853,0,1853,99,288.65
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,7,693,1034,1619,0,1619,2548,32.65
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,8,100,11,62,0,62,13,7.25
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,8,90,14,55,0,55,2,13.25
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,7,411,146,1702,0,1702,57,109.68
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,7,499,116,1375,0,1375,44,108.54
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,8,168,0,4,0,4,174,0.85
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,7,481,166,1428,0,1428,1360,57.96
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,8,124,5,22,0,22,143,5.35
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,8,135,101,68,0,68,270,4.76
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,8,120,5,25,0,25,6,13.36
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,8,95,0,32,0,32,4,14.54
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,8,97,15,304,266,38,12,31.37
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,7,423,90,2443,1055,1388,54,130.44
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,7,69,378,3492,3072,420,97,239.04
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,6,158,631,5910,4736,1174,181,386.0
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,8,90,12,73,0,73,18,24.91
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,8,340,1,18,0,18,363,2.1
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,7,427,38,1440,0,1440,36,123.66
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,8,192,36,253,0,253,39,27.76
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,8,295,236,204,0,204,639,9.61
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,8,241,19,191,0,191,372,13.37
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,8,182,25,230,0,230,11,29.39
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,8,221,24,171,0,171,10,30.05
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,7,344,85,1168,0,1168,82,195.34
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,8,188,28,610,453,157,17,40.39
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,8,273,62,513,0,513,81,26.59
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,8,520,0,33,0,33,558,2.12
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,8,189,8,295,0,295,7,39.26
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,8,42,109,1003,958,45,30,75.84
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,8,409,501,566,0,566,1183,17.08
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,8,351,62,399,0,399,608,24.48
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,8,172,41,350,0,350,25,59.55
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,8,279,58,508,0,508,29,51.92
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,8,323,49,494,0,494,19,51.24
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,8,282,13,498,0,498,10,64.77
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,8,691,0,71,0,71,769,3.02
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,8,268,45,1127,707,420,33,81.82
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,8,354,91,890,0,890,120,59.87
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,7,105,484,4487,3754,733,146,316.85
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,8,550,676,1007,0,1007,1693,27.28
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,8,70,218,2045,1860,185,66,138.68
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,8,429,93,761,0,761,899,38.93
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,8,442,86,732,0,732,17,83.9
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,8,346,76,881,0,881,45,88.93
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,8,354,38,889,0,889,16,98.59
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,8,244,67,855,0,855,44,130.54
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,8,850,3,123,0,123,986,5.79
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,8,342,74,1750,802,948,35,127.81
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,7,417,145,1866,0,1866,94,291.35
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,8,680,1047,1576,0,1576,2480,31.92
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,9,102,11,26,0,26,14,7.11
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,8,503,143,1459,0,1459,1340,54.35
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,8,431,147,1537,0,1537,154,89.71
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,9,101,8,48,0,48,8,13.37
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,9,117,8,23,0,23,2,11.43
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,9,180,0,6,0,6,188,0.74
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,9,117,7,12,0,12,132,5.26
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,9,87,6,260,240,20,6,17.37
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,9,146,114,65,0,65,292,4.98
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,8,537,105,1240,0,1240,51,111.69
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,8,430,112,1596,0,1596,40,122.24
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,9,103,2,61,0,61,9,16.74
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,9,83,12,42,0,42,11,17.61
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,8,71,368,3544,3031,513,84,246.54
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,8,435,55,1583,0,1583,25,127.85
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,9,351,0,14,0,14,369,1.25
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,9,185,27,202,0,202,46,25.98
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,8,433,99,2434,1091,1343,46,142.96
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,9,187,30,247,0,247,11,30.2
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,9,220,25,217,0,217,10,29.64
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,9,286,264,241,0,241,679,10.47
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,7,170,605,5549,4436,1113,191,397.25
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,9,243,26,157,0,157,351,14.26
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,9,45,97,866,852,14,26,62.5
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,9,190,8,177,0,177,8,35.53
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,9,514,2,34,0,34,556,3.28
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,8,329,93,1248,0,1248,64,191.78
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,9,194,24,596,425,171,14,47.0
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,9,278,79,661,0,661,71,28.03
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,9,427,475,576,0,576,1180,16.48
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,9,341,58,424,0,424,612,23.34
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,9,270,45,577,0,577,28,54.11
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,9,321,49,512,0,512,17,57.16
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,9,186,45,296,0,296,22,62.14
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,9,262,55,1149,623,526,31,83.4
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,9,282,12,491,0,491,11,66.51
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,9,685,3,80,0,80,775,4.89
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,9,369,79,965,0,965,128,57.67
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,9,568,840,1010,0,1010,1922,25.87
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,9,431,81,793,0,793,871,34.31
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,9,68,232,2114,1991,123,61,136.73
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,9,342,89,1148,0,1148,44,88.39
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,9,425,75,929,0,929,28,84.21
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,8,122,521,4562,3749,813,129,332.04
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,9,364,22,819,0,819,15,85.7
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,9,271,73,681,0,681,45,125.54
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,9,848,6,122,0,122,986,6.85
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,9,362,58,1522,680,842,39,118.58
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,8,394,153,2208,0,2208,80,281.4
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,9,686,1085,1754,0,1754,2635,31.52
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,9,441,134,1565,0,1565,147,79.35
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,10,97,9,42,0,42,21,11.76
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,9,525,150,1284,0,1284,1324,51.21
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,10,98,6,19,0,19,4,11.05
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,10,125,3,21,0,21,6,13.42
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,10,169,0,2,0,2,173,0.77
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,10,93,11,315,267,48,8,16.21
R5_transfer_map3,hybrid_original,map3,original,10,0.0,0,2000,8,141,618,5916,4726,1190,170,344.02
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,10,111,6,48,0,48,144,5.55
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,10,151,150,40,0,40,321,4.54
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,9,432,120,1820,0,1820,49,103.6
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,10,98,1,31,0,31,2,14.61
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,9,523,121,1410,0,1410,40,111.11
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,9,438,50,1238,0,1238,23,104.15
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,10,194,32,209,0,209,50,22.63
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,9,97,381,3246,2916,330,100,235.68
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,10,331,0,22,0,22,357,1.42
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,10,94,17,32,0,32,11,26.75
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,9,452,91,2426,992,1434,63,126.35
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,10,289,222,223,0,223,611,8.74
