exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,0,419,129,1719,0,1719,52,187.82
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,0,87,364,3399,3035,364,90,467.0
R1_libvariants_map2,lib_filter,map2,original,4,0.0,0,2000,1,182,38,216,0,216,40,26.53
R5_transfer_map3,hybrid_map3lib,map3,map3lib,2,0.0,0,2000,1,80,17,42,0,42,18,26.37
R3_prioritized_map2,prioritized,map2,prioritized,4,0.0,0,2000,1,362,2,16,0,16,384,4.56
R4_online_cap300_map2,online_cap300,map2,rrt_online,4,0.0,0,2000,1,296,250,225,0,225,659,14.21
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,4,0.0,0,2000,1,234,15,171,0,171,338,21.7
R1_libvariants_map2,lib_repair,map2,original,4,0.0,0,2000,1,174,30,149,0,149,15,52.62
R2_scripted_map2,scripted_alternative,map2,alternative,10,0.0,0,2000,0,429,46,1574,0,1574,19,178.02
R1_libvariants_map2,lib_regen,map2,original,4,0.0,0,2000,1,228,27,219,0,219,6,46.2
R2_scripted_map2,scripted_original,map2,original,10,0.0,0,2000,0,432,97,2503,920,1583,50,205.04
R5_transfer_map3,hybrid_original,map3,original,2,0.0,0,2000,1,36,117,1023,1008,15,27,90.52
R2_scripted_map2,scripted_alternative,map2,alternative,4,0.0,0,2000,1,185,5,181,0,181,5,47.94
R2_scripted_map2,scripted_original,map2,original,4,0.0,0,2000,1,204,21,459,325,134,22,65.83
R3_prioritized_map2,prioritized,map2,prioritized,6,0.0,0,2000,1,540,3,37,0,37,586,5.41
R4_online_cap300_map2,online_cap300,map2,rrt_online,6,0.0,0,2000,1,419,442,491,0,491,1071,21.46
R5_transfer_map3,hybrid_map3lib,map3,map3lib,8,0.0,0,2000,0,339,104,1108,0,1108,73,307.96
R1_libvariants_map2,lib_filter,map2,original,6,0.0,0,2000,1,289,63,546,0,546,75,51.68
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,6,0.0,0,2000,1,339,54,460,0,460,618,34.25
R1_libvariants_map2,lib_repair,map2,original,6,0.0,0,2000,1,271,46,562,0,562,23,64.51
R1_libvariants_map2,lib_regen,map2,original,6,0.0,0,2000,1,335,44,438,0,438,21,65.42
R2_scripted_map2,scripted_original,map2,original,6,0.0,0,2000,1,280,40,1060,530,530,28,73.28
R5_transfer_map3,hybrid_map3lib,map3,map3lib,4,0.0,0,2000,1,181,55,342,0,342,31,91.75
R5_transfer_map3,hybrid_original,map3,original,8,0.0,0,2000,0,111,471,4488,3688,800,125,397.34
R3_prioritized_map2,prioritized,map2,prioritized,8,0.0,0,2000,1,697,4,63,0,63,772,5.77
R2_scripted_map2,scripted_alternative,map2,alternative,6,0.0,0,2000,1,262,19,649,0,649,9,75.49
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,1,68,238,2162,1987,175,57,126.44
R4_online_cap300_map2,online_cap300,map2,rrt_online,8,0.0,0,2000,1,549,724,1235,0,1235,1864,26.88
R1_libvariants_map2,lib_filter,map2,original,8,0.0,0,2000,1,349,118,1085,0,1085,90,61.72
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,8,0.0,0,2000,1,410,93,811,0,811,919,41.38
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,1,356,77,968,0,968,39,101.11
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,1,428,81,897,0,897,38,118.29
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,1,252,80,695,0,695,49,206.44
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,1,359,39,954,0,954,13,177.08
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,1,344,64,1689,851,838,35,195.07
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,1,872,4,114,0,114,1000,17.32
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,1,425,152,1381,0,1381,134,226.09
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,0,454,117,1845,0,1845,108,520.32
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,1,704,1130,1449,0,1449,2551,100.94
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,2,102,12,20,0,20,15,23.55
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,1,507,95,1318,0,1318,45,290.05
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,1,429,123,1618,0,1618,71,314.5
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,2,108,6,24,0,24,6,43.05
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,1,525,153,1276,0,1276,1313,173.39
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,2,174,0,2,0,2,178,2.37
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,2,153,126,35,0,35,296,17.0
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,2,126,11,17,0,17,147,21.0
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,2,100,13,232,203,29,7,46.07
