x,y
1.0,1.0
32.0,20.0
32.0,21.0
31.0,22.0
31.0,23.0
31.61052617,23.69333527
32.10264812,24.44707668
32.97208038,24.66534477
33.74681349,25.08169793
34.40209814,25.78902371
34.88382336,26.50613103
35.27778678,27.27784915
35.73654592,28.06999092
36.14812206,28.89573515
36.19480958,29.78221969
36.47874852,30.6318661
36.42771397,31.43453756
36.7079563,32.29572517
37.56784838,32.66025847
38.3146317,33.26111297
39.06581498,33.74134856
39.80265161,34.16525963
40.60614439,34.55299462
1.0,1.0
20.0,24.0
20.0,23.0
19.0,23.0
18.0,23.0
17.44205834,22.38741448
16.85551037,21.67767609
16.38016484,20.91899549
15.61503052,20.45057736
14.9418788,19.94035358
14.50532676,19.17162369
13.59998483,18.99426045
12.78220604,18.62990135
12.0128273,18.10734237
1.0,1.0
44.0,35.0
43.47723942,36.257177
42.72406527,35.76334489
41.86684089,35.39273682
41.02685656,35.05936181
40.34395678,34.37513982
39.43899116,34.46079562
38.57074667,34.40818674
37.77490097,34.09377912
37.16758125,33.39642637
36.46421432,32.86636795
35.88707214,32.26846993
35.12156651,31.92379098
34.32090725,31.52534158
33.4837242,31.70383225
32.63647183,31.60697361
31.7577438,31.76048057
31.01626728,31.42067896
30.1623519,31.07410005
29.36651471,30.64727022
28.53620261,30.45700678
27.70936786,30.92262173
26.78859073,31.25948112
25.82847472,31.42793392
24.90205295,31.55930251
24.05433774,31.60970366
23.32008823,32.09061956
23.0074896,32.95079482
22.88420634,33.93627655
22.87888801,34.93403101
22.79166591,35.88419652
22.72773308,36.85660356
22.73912756,37.81317536
22.88402738,38.79412714
22.88696379,39.62680302
21.81386767,39.792222
22.10609297,40.66978498
22.84560877,41.28070626
23.79560194,41.429805
24.65506353,41.48096575
25.58693375,41.45060762
26.55688056,41.35796686
1.0,1.0
17.0,37.0
18.0,33.0
18.29853998,32.25342909
18.53902186,31.45354077
19.30613461,30.95093748
19.8617991,30.29850361
20.26548102,29.45805108
20.0,29.0
19.0,29.0
18.0,30.0
17.0,30.0
16.0,30.0
15.0,31.0
15.0,32.0
15.0,33.0
15.0,34.0
14.0,35.0
15.0,35.0
22.64308232,32.94274132
23.36045025,32.44849166
24.21516452,32.14571509
25.00412963,31.65227999
25.75987774,31.13671636
26.65239783,31.1032261
27.46411461,31.47573607
28.23072882,31.20638751
28.93028249,30.63885417
29.43900481,29.87725108
29.99490616,29.13861505
30.72210662,28.58819555
31.21368561,27.7580132
31.85153291,27.1252001
32.62019009,27.03153672
33.3656779,27.65809837
34.29876166,27.95704625
35.23273272,28.12130514
36.16693721,28.26872371
37.08507861,28.40141354
38.02454206,28.44223911
38.80734544,28.01985715
39.35341055,27.29600894
40.11101493,26.80141932
40.88035072,26.32702902
41.04485633,25.51601888
41.79218146,24.94625596
42.55596044,24.46864691
43.21745035,24.00056053
43.95735058,23.55594815
44.70212909,23.2939517
45.21610255,22.63225245
45.41962018,21.72425668
45.54480859,20.79187172
45.72253643,19.81335548
45.76953098,18.84014816
45.86124234,17.87183627
45.0,18.0
44.0,18.0
43.0,18.0
42.0,18.0
41.0,18.0
40.0,17.0
39.0,16.0
39.0,15.0
39.0,14.0
39.0,13.0
39.0,12.0
40.0,11.0
41.0,12.0
41.87305438,12.02011983
42.67753679,11.66810848
43.43486484,11.25907429
44.34732633,11.06566556
45.21720307,10.99165764
1.0,1.0
8.0,33.0
8.0,33.0
8.697643633,32.51956674
9.563722209,32.29130814
10.41846981,32.27529494
11.23690678,32.08029319
12.08403955,31.86554373
12.97627851,31.97097673
13.85162983,31.90326509
14.7291401,31.84014718
15.50988321,31.7601929
16.23874145,31.39289475
1.0,1.0
10.0,4.0
9.0,5.0
8.145879449,4.967028782
7.424828108,5.502816275
6.861768156,6.200783648
6.3131557,6.954940806
5.861319155,7.762335344
5.592894251,8.582222879
5.339176371,9.480433305
5.074004516,10.32311771
5.123784643,11.20390147
5.399249362,12.13610134
5.590398815,13.05841163
5.509371896,13.93365262
5.619164898,14.76983545
5.820259089,15.64561802
6.202482537,16.38457656
6.801828489,17.10007701
1.0,1.0
5.0,11.0
6.938514786,11.26788379
6.981713935,12.23682805
6.96677641,13.21638711
6.0,13.0
6.0,14.0
6.0,15.0
6.0,16.0
6.0,17.0
7.0,18.0
8.0,18.0
9.0,18.0
9.0,17.0
9.936198694,17.08998913
10.77325296,17.21106952
11.57188267,17.67045988
12.41385736,18.01018511
13.31732018,18.11617657
13.862744,18.79347369
14.31284284,19.59353696
14.91188869,20.2807781
15.4354051,21.00810511
16.08002612,21.61007053
16.7830425,22.23242725
17.43009737,22.73351782
18.22368734,23.1083133
19.04576529,23.35474633
19.86550305,23.65161536
20.38838184,24.40765135
20.0,23.0
21.0,23.0
22.0,22.0
23.0,21.0
24.0,22.0
24.0,23.0
