exp,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
S4_throughput_map1,map1,original,5,0.0,0,1000,14,120,10,129,0,129,8,21.58
S4_throughput_map1,map1,original,5,0.6,3,2000,13,271,41,286,0,286,19,44.73
S4_throughput_map1,map1,original,5,0.6,3,1000,14,127,11,157,0,157,14,20.91
S4_throughput_map1,map1,original,5,0.0,0,2000,13,268,39,383,0,383,16,45.91
S4_throughput_map1,map1,original,5,1.0,5,1000,14,105,18,225,0,225,17,22.88
S4_throughput_map1,map1,original,5,1.0,5,2000,13,241,48,319,0,319,42,48.5
S4_throughput_map1,map1,original,5,0.0,0,1500,14,176,18,192,0,192,15,26.44
S4_throughput_map1,map1,original,5,0.6,3,1500,14,199,15,245,0,245,23,27.1
S4_throughput_map1,map1,original,5,1.0,5,1500,14,160,26,259,0,259,34,26.33
S4_throughput_map1,map1,original,5,0.0,0,2000,14,243,25,254,0,254,18,27.32
S4_throughput_map1,map1,original,5,0.6,3,2000,14,259,22,345,0,345,35,28.81
S4_throughput_map1,map1,original,5,1.0,5,2000,14,226,34,334,0,334,43,30.53
